link_AA,link_AB,link_AC,link_BA,link_BB,link_BC,link_CA,link_CB,link_CC,Q_value,is_adaptive,Q_LSODA,Q_Radau,stiff_flag,avg_sensitivity,avg_precision,max_sensitivity,max_precision,topo_motif
-1,1,-1,1,-1,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,-1,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,-1,-1,-1,2,1,2,0,0,6.769411695552079,1.1470652633300769,11.37891573772921,1.275046926078604,Both
-1,1,-1,1,0,1,-1,-1,0,1,1,1,0,0,1.8106010905596392,2.801931691010382,1.8106010905596392,2.801931691010382,Both
-1,1,-1,1,0,1,-1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,0,1,-1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,0,1,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,0,1,-1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,0,1,-1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,0,1,-1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,0,1,-1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,0,1,0,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,0,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,0,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,-1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,-1,-1,-1,6,1,6,0,0,3.3950021765934473,4.205972222241164,5.551730699121434,15.881522545029718,Both
-1,1,-1,1,1,1,-1,-1,0,2,1,2,0,0,2.4620422726839966,28.614879603246635,2.662094188348843,53.38197455771538,Both
-1,1,-1,1,1,1,-1,-1,1,2,1,2,0,0,205.66175588736334,2.070682359822701,410.30941061187133,2.9687717270662626,Both
-1,1,-1,1,1,1,-1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,1,1,-1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,1,1,-1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,1,1,-1,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,1,1,-1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,1,1,-1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,Both
-1,1,-1,1,1,1,0,-1,-1,1,1,0,1,1,1.0049046641438732,1.4922685559025874,1.0049046641438732,1.4922685559025874,IFFLP
-1,1,-1,1,1,1,0,-1,0,1,1,1,0,0,1.0305086191165516,1.358209907966112,1.0305086191165516,1.358209907966112,IFFLP
-1,1,-1,1,1,1,0,-1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,0,1,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,1,-1,-1,2,1,2,0,0,12.077676458941289,1.513794079091927,23.032536065670605,1.6179660826734712,IFFLP
-1,1,-1,1,1,1,1,-1,0,1,1,1,0,0,1.5133767574325008,2.0991275665689733,1.5133767574325008,2.0991275665689733,IFFLP
-1,1,-1,1,1,1,1,-1,1,1,1,1,0,0,3.1382875626288866,2.3502651425787033,3.1382875626288866,2.3502651425787033,IFFLP
-1,1,-1,1,1,1,1,0,-1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
-1,1,-1,1,1,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,IFFLP
